Song,Artist,State,Lat,Long,Song_Release_Year,Song_Release_Month
This Way (Khalid x H.E.R.),"['Khalid', 'H.E.R.']",Georgia,33.0,-83.0,2022,February
Hard Work Pays Off,"['Future', 'Juice WRLD']",Georgia,33.0,84.0,2015,September
Realer N Realer,"['Future', 'Juice WRLD']",Georgia,33.0,84.0,2019,January
Patek,"['Future', 'Lil Uzi Vert']",Georgia,33.0,-84.0,2020,September
PUFFIN ON ZOOTIEZ,['Future'],Georgia,33.0,84.0,2020,February
Jumbotron Shit Poppin,['Drake'],Canada,43.0,79.0,2009,January
MILLION DOLLAR BABY,['Tommy Richman'],Georgia,33.0,-83.0,2021,August
Chosen (feat. Ty Dolla $ign),"['Blxst', 'Tyga', 'Ty Dolla $ign']",California,34.0,-118.0,2020,October
NO BYSTANDERS,['Travis Scott'],Texas,30.0,-97.0,2018,August
Topanga,['Trippie Redd'],Ohio,-39.9612,-82.9988,'2019','June'
Broke In A Minute,['Tory Lanez'],Canada,43.0,-79.0,2020,January
Steppas,['A Boogie Wit da Hoodie'],New York,41.0,-74.0,2018,September
"POINT ME TO IT (feat. Lil Yachty, Camo!)","['Concrete Boys', 'Lil Yachty', 'Camo!']",Georgia,33.0,-83.0,2020,June
Huntin’ Wabbitz,['J. Cole'],North Carolina,35.0,-80.0,2013,June
Jealous,"['Future', 'Metro Boomin']",Georgia,33.0,-84.0,2014,September
Diamonds Dancing (feat. Travis Scott),"['Young Stoner Life', 'Young Thug', 'Gunna', 'Travis Scott']",Texas,29.0,-100.0,2022,May
Commercial (feat. Lil Uzi Vert),"['Lil Baby', 'Lil Uzi Vert']",Georgia,33.0,-83.0,2021,September
Show of Hands,"['Future', 'Metro Boomin', 'A$AP Rocky']",England,50.0,-1.0,2015,October
Red Leather,"['Future', 'Metro Boomin', 'J. Cole']",Georgia,33.0,83.0,2020,'September'
Quite Buttery,"['Count Bass D', 'MF DOOM']",Tennessee,36.0,-86.0,1995,September
My Nigga - Remix,['Young Money'],California,34.0,118.0,2014,September
Burn,['Young Money'],Louisiana,30.0,91.0,2009,March
Senile,"['Young Money', 'Tyga', 'Nicki Minaj', 'Lil Wayne']",Louisiana,31.0,-91.0,2014,March
I'm Goin In,"['Drake', 'Lil Wayne', 'Jeezy']",Canada,51.0,106.0,2009,August
These Ain't Raindrops,['James Carr'],United States,38.0,-97.0,1968,November
Back On My BS,['BigXthaPlug'],Tennessee,35.0,-86.0,2020,October
Stealth Mode (feat. Bas),"['J. Cole', 'Bas']",North Carolina,35.0,-80.0,2018,January
H.Y.B. (feat. Bas & Central Cee),"['J. Cole', 'Bas', 'Central Cee']",Germany,51.0,9.0,2021,May
DENiM (feat. Joey Bada$$),"['IDK', 'Joey Bada$$']",Maryland,39.0,-77.0,2020,August
Red Moon,['Lil Uzi Vert'],Pennsylvania,40.0,-77.0,'2021','October'
His & Hers (feat. Don Toliver & Lil Uzi Vert),"['Internet Money', 'Gunna', 'Don Toliver', 'Lil Uzi Vert']",California,34.0,-118.0,2020,September
Lucid Dreams (feat. Lil Uzi Vert) - Remix,"['Juice WRLD', 'Lil Uzi Vert']",Illinois,41.0,-87.0,2018,June
Looking Too Closely,['Fink'],United Kingdom,51.0,0.0,2014,June
CAN'T SAY,['Travis Scott'],Texas,30.0,-97.0,2018,October
Mannequin Challenge (feat. Juice WRLD),"['Young Thug', 'Juice WRLD']",Georgia,-33.0,84.0,2016,December
Dreamcatcher (feat. Swae Lee & Travis Scott),"['Metro Boomin', 'Swae Lee', 'Travis Scott']",Georgia,32.0,-83.0,2018,September
YOSEMITE,['Travis Scott'],Texas,30.0,100.0,2018,August
Numb Numb Juice,['ScHoolboy Q'],California,34.0,-118.0,2019,March
The Kill,['Thirty Seconds To Mars'],California,34.0,-118.0,2005,July
Wasted (feat. Lil Uzi Vert),"['Juice WRLD', 'Lil Uzi Vert']",Illinois,40.0,-89.0,2018,July
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","['Metro Boomin', 'Future', 'Lil Uzi Vert']",Georgia,33.0,83.0,2022,October
I'll Be Fine,['Juice WRLD'],Illinois,41.0,-87.0,2021,December
Overdue (with Travis Scott),"['Metro Boomin', 'Travis Scott']",Georgia,32.0,83.0,2014,August
Jet Lag (feat. Young Scooter),"['Future', 'Juice WRLD', 'Young Scooter']",Georgia,33.0,83.0,2013,June
Back On 74,['Jungle'],India,28.7041,77.1025,2022,March
Fine China,"['Future', 'Juice WRLD']",Georgia,33.0,-84.0,2012,7
Young Metro,"['Future', 'Metro Boomin', 'The Weeknd']",Georgia,33.0,83.0,2015,June
I KNOW ?,['Travis Scott'],Texas,30.0,-100.0,2014,August
The Quest,['Mac Miller'],Pennsylvania,40.8966,-77.8389,2010,August
Everyday Hustle,"['Future', 'Metro Boomin', 'Rick Ross']",Georgia,33.0,-84.0,2019,April
What About The Children,"['Gary Clark Jr.', 'Stevie Wonder']",Texas,30.0,-100.0,2012,November
POETRY IN MOTION,"['SiR', 'Anderson .Paak']",California,34.0,-118.0,2020,January
Cinderella,"['Future', 'Metro Boomin', 'Travis Scott']",Georgia,34.0522,-83.9647,2017,March
Like That,"['Future', 'Metro Boomin', 'Kendrick Lamar']",Georgia,-32.0,84.0,2020,March
Ruby My Dear,['Roy Hargrove'],Texas,29.0,99.0,1995,September
Me Vs Me,['Moneybagg Yo'],Tennessee,35.0,86.0,2021,April
Sundress,['A$AP Rocky'],New York,40.7128,-74.006,2014,July
Arya (with Nigo),"['A$AP Rocky', 'Nigo']",New York,40.7128,74.006,2019,June
Celebrate,['Anderson .Paak'],California,36.0,119.0,2019,September
Put Me Thru,['Anderson .Paak'],California,34.0,118.0,2016,September
The Season | Carry Me,['Anderson .Paak'],California,37.0,-120.0,2018,November
The Waters (feat. BJ the Chicago Kid),"['Anderson .Paak', 'BJ The Chicago Kid']",California,34.0,-118.0,2014,August
Heart Don't Stand a Chance,['Anderson .Paak'],California,34.0,-118.0,2016,October
Come Down,['Anderson .Paak'],California,34.0,-118.0,2016,June
Fly As Me,"['Bruno Mars', 'Anderson .Paak', 'Silk Sonic']",Hawaii,20.0,-156.0,2010,March
Peso,['A$AP Rocky'],New York,41.6032,-74.0121,2011,October
"TKO (Black Friday Remix) (feat. J. Cole, A$AP Rocky & Pusha T)","['Justin Timberlake', 'J. Cole', 'A$AP Rocky', 'Pusha T']",Tennessee,36.0,-86.0,2013,November
500lbs,['Lil Tecca'],New York,41.0,-74.0,2020,May
Million Dollar Play,"['Future', 'Lil Uzi Vert']",Georgia,33.0,84.0,2021,February
Do What I Want,['Kid Cudi'],Ohio,41.0,82.0,'2009','April'
Deep End Freestyle,"['Sleepy Hallow', 'Fousheé']",New York,40.0,-74.0,2020,April
Top,['Lil Uzi Vert'],Pennsylvania,40.0,-77.0,2020,January
Too Comfortable,['Future'],Georgia,33.0,83.0,2019,May
Skate,"['Bruno Mars', 'Anderson .Paak', 'Silk Sonic']",California,34.0,-118.0,2021,November
Running Outta Love (feat. Tori Kelly),"['Jacob Collier', 'Tori Kelly']",London,51.0,-0.13,2016,July
shelter,['Tori Kelly'],California,38.0,-120.0,2015,May
Caught in the Middle,['Paramore'],Tennessee,36.0,-86.0,2017,May
I Caught Myself,['Paramore'],Tennessee,36.0,86.0,2008,December
Figure 8,['Paramore'],Tennessee,36.0,-86.0,2013,August
Hard Times,['Paramore'],Tennessee,36.0,86.0,2017,April
This Is Why,['Paramore'],Tennessee,36.0,-86.0,2007,July
All The Faces,['Creed Bratton'],California,33.0,-118.0,2008,November
Get 'Em Up,['Anderson .Paak'],California,34.0,-118.0,2016,March
Invocation,['Common'],Illinois,41.0,-87.0,2000,March
Two Words,"['Kanye West', 'Mos Def', 'Freeway', 'The Boys Choir Of Harlem']",Illinois,41.0,-87.0,2004,September
Yeah Glo!,['GloRilla'],Nigeria,9.0,8.0,2020,May
That's What You Get,['Paramore'],Tennessee,36.0,-86.0,2008,April
PUT IN WORK,"['EARTHGANG', 'Spillage Village', 'Tommy Newport']",Georgia,33.0,-83.0,2017,September
Die Today,"['EARTHGANG', 'Spillage Village']",Georgia,33.0,83.0,2019,July
BLACKLIGHT,"['EARTHGANG', 'Spillage Village']",Georgia,33.0,83.0,2019,September
Park,['Isaiah Rashad'],Tennessee,36.0,-86.0,2016,September
Never Be Like You (feat. Kai),"['Flume', 'kai']",Australia,-27.0,133.0,2016,April
The Reason,['Hoobastank'],California,34.0,118.0,2004,May
Still into You,['Paramore'],Tennessee,36.0,-86.0,2013,April
Misery Business,['Paramore'],Tennessee,36.0,-86.0,2007,August
"Pressure In My Palms (feat. slowthai, Vince Staples)","['Aminé', 'slowthai', 'Vince Staples']",Oregon,45.0,-122.0,2020,July
FUN!,['Vince Staples'],California,38.0,-121.0,2021,July
BagBak,['Vince Staples'],California,34.0,-118.0,2017,February
Yeah Right,['Vince Staples'],California,38.0,-120.0,2017,August
Burgundy (feat. Vince Staples),"['Earl Sweatshirt', 'Vince Staples']",California,34.0,-118.0,2014,November
Opps (with Yugen Blakrok),"['Vince Staples', 'Yugen Blakrok']",California,33.0,-118.0,2018,February
Gangsta,"['Free Nationals', 'A$AP Rocky', 'Anderson .Paak']",California,36.0,119.0,2020,September
Heaven or Las Vegas,['Cocteau Twins'],Scotland,56.0,-4.0,1990,September
TEXAS HOLD 'EM,['Beyoncé'],Texas,29.0,-99.0,2006,October
EXIT 9,"['Killer Mike', 'Blxst']",Georgia,33.0,-83.0,2003,March
Ballads (with Conway The Machine),"['JID', 'Conway the Machine']",Georgia,33.0,84.0,2021,February
Scatter Brain (feat. Ludacris & JID),"['Conway the Machine', 'Ludacris', 'JID']",New York,42.0,-74.0,2021,October
Too Much,"['Drake', 'Sampha']",Ontario,43.0,-79.0,2014,July
Many Times,['Dijon'],France,48.0,2.0,2019,November
I Heard It Through The Grapevine,['Marvin Gaye'],Michigan,42.0,-84.0,1968,November
So Gone,['Monica'],Georgia,33.0,-83.0,2003,August
Cold Little Heart - Radio Edit,['Michael Kiwanuka'],United Kingdom,51.509865,-0.118092,2017,March
BLACK OPS (with Denzel Curry),"['Kid Cudi', 'Denzel Curry']",Ohio,41.0,-82.0,2020,July
No Flockin',['Kodak Black'],Florida,27.0,81.0,2014,August
"Perry Aye (feat. A$AP Rocky, A$AP Nast, Playboi Carti & Jaden Smith)","['A$AP Mob', 'A$AP Rocky', 'A$AP NAST', 'Playboi Carti', 'Jaden']",New York,40.0,74.0,2017,August
Lord Pretty Flacko Jodye 2 (LPFJ2),['A$AP Rocky'],New York,40.0,-74.0,2015,January
On BS,"['Drake', '21 Savage']",Ontario,43.0,-79.0,2018,October
Skateboard P (feat. Big Sean),"['MadeinTYO', 'Big Sean']",Georgia,34.0,-83.0,2021,July
"Yo Love - From ""Queen & Slim: The Soundtrack""","['Vince Staples', '6LACK', 'Mereba']",California,36.0,119.0,2019,November
Start Over,['Planet Giza'],Canada,45.0,-75.0,2019,September
By Any Means,['6LACK'],Georgia,33.0,-84.0,2020,August
Far Away (feat. A$AP Rocky),"['Yebba', 'A$AP Rocky']",Arkansas,35.0,-92.0,2019,August
AIN'T GON STOP ME,"['reggie', 'monte booker', 'Kenny Beats']",California,36.0,-119.0,2021,August
Broken Clocks,['SZA'],California,33.7701,-118.1937,2017,January
2 days into college,['Aimee Carty'],California,36.0,-119.0,2021,August
Hunger,['MIKE'],New York,40.0,-74.0,2017,June
ROSE STREET,['Vince Staples'],California,38.0,-121.0,2021,November
Be Without You,['Mary J. Blige'],New York,40.0,-74.0,2005,December
Birds & The Beez,"['ScHoolboy Q', 'Kendrick Lamar']",California,33.0,-118.0,2014,June
"Frat Rules (feat. A$AP Rocky, Playboi Carti & Big Sean)","['A$AP Mob', 'A$AP Rocky', 'Playboi Carti', 'Big Sean']",New York,40.7128,-74.006,2016,August
No Idea,['Don Toliver'],Texas,29.0,95.0,2018,December
can't leave without it,['21 Savage'],Georgia,33.0,-84.0,2019,July
"Bachelor (feat. A$AP Rocky, Lil Yachty, MadeinTYO & Offset)","['A$AP Mob', 'A$AP Rocky', 'Lil Yachty', 'MadeinTYO', 'Offset']",New York,40.0,74.0,2017,August
Nightmares Of The Bottom,['Lil Wayne'],Louisiana,30.0,-91.0,'2011','December'
Shadow Man,"['Noname', 'Smino', 'Phoelix', 'Saba']",Illinois,41.0,-87.0,2016,September
Hair Down,"['SiR', 'Kendrick Lamar']",California,33.0,-118.0,'2019','August'
Score (feat. SZA & 6LACK),"['Isaiah Rashad', '6LACK', 'SZA']",Tennessee,36.0,-86.0,2021,May
I Believe to My Soul,['Ray Charles'],Georgia,33.0,-84.0,1959,October
THE BEACH,['Vince Staples'],California,33.8366,-118.3407,'2017','January'
redrum,['21 Savage'],Georgia,33.0,84.0,2016,April
Rich Nigga Shit (feat. Young Thug),"['21 Savage', 'Metro Boomin', 'Young Thug']",Georgia,33.0,-84.0,2020,July
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","['Metro Boomin', 'A$AP Rocky', 'Roisee']",Georgia,33.0,-83.0,2021,March
untitled 02 | 06.23.2014.,['Kendrick Lamar'],California,36.7783,-119.4179,2014,June
Praise Jah In The Moonlight,['YG Marley'],Jamaica,18.0,-77.0,2020,March
W.T.P.,['Eminem'],Michigan,42.0,-83.0,2009,December
Somebody That I Used To Know,"['Gotye', 'Kimbra']",Australia,-33.0,151.0,2011,July
Blow the Whistle,['Too $hort'],California,37.0,-120.0,2006,July
A TALE OF A KNIGHT,['Kid Cudi'],Ohio,41.0,-82.0,2009,October
Can't Believe It (feat. Lil' Wayne),"['T-Pain', 'Lil Wayne']",Florida,27.0,-81.0,2008,September
née-nah,"['21 Savage', 'Travis Scott', 'Metro Boomin']",Georgia,33.0,-83.0,2019,June
"Hallelujah Heaven (feat. Lil Wayne, Buju Banton, and Shabba Ranks)","['Jeymes Samuel', 'Lil Wayne', 'Buju Banton', 'Shabba Ranks']",United Kingdom,51.5074,-0.1278,2021,October
BUILT FOR LOVE (feat. Jazmine Sullivan),"['PJ Morton', 'Jazmine Sullivan']",Louisiana,30.0,-91.0,2017,August
I'm Good,"['Lil Wayne', 'Lucci Lou']",Louisiana,30.0,-91.0,2013,September
Let It Fly (feat. Travis Scott),"['Lil Wayne', 'Travis Scott']",Louisiana,30.0,-91.0,2018,June
False Prophets,['J. Cole'],North Carolina,36.0,-79.0,2016,December
Alright,['Kendrick Lamar'],California,35.0,-119.0,2015,March
Go Thru Your Phone,['PJ Morton'],Louisiana,30.0,-91.0,2017,December
Eternal Light,"['Free Nationals', 'Chronixx']",California,37.0,120.0,2019,September
Good Morning (feat. Susan Carol),"['PJ Morton', 'Susan Carol']",Louisiana,30.9843,-91.9623,2013,September
So Cool,['Reuben James'],United Kingdom,51.5074,-0.1278,2021,February
Mo Jams,['concretevault'],Canada,53.0,113.0,2021,August
50 Ways to Leave Your Lover,['Paul Simon'],Newark,40.0,74.0,'1975','November'
You Can Call Me Al,['Paul Simon'],New Jersey,40.0,-74.0,1986,July
Diamonds on the Soles of Her Shoes,['Paul Simon'],New Jersey,39.0,-74.0,'1986','August'
prince of egypt,['Mofe.'],Nigeria,10.0,8.0,2020,April
Let Me Love You,['Mario'],New York,40.0,-74.0,2004,January
How Deep Is Your Love,['PJ Morton'],Louisiana,30.0,-91.0,2019,August
Imagine,"['Snoop Dogg', 'Dr. Dre', ""D'Angelo""]",California,36.0,-119.0,2004,September
Nothing Even Matters (feat. D'Angelo),"['Ms. Lauryn Hill', ""D'Angelo""]",New Jersey,40.0,-74.0,1998,November
Hanging By A Moment,['Lifehouse'],California,37.0,-120.0,2000,August
Kiss An Angel Good Mornin',['Alan Jackson'],Georgia,33.0,83.0,1999,November
Boom (feat. JID),"['Token', 'JID']",Massachusetts,42.0,-71.0,2018,June
Unshaken,"[""D'Angelo""]",Virginia,38.0,-78.0,2018,December
Amor Mudo,['Luis Miguel Del Amargue'],Dominican Republic,19.0,-70.0,2006,July
Headaches,['Raveena'],New York,40.0,-74.0,2018,April
Stick Season,['Noah Kahan'],Vermont,43.0,-72.0,2019,October
"Ciega, Sordomuda",['Shakira'],Colombia,4.0,-74.0,1998,October
Ngicabange Ngaqeda,"['Mahlathini', 'Makgona Tsohle Band']",South Africa,-28.0,24.0,1988,July
Sini Lindile,['Nganeziyamfisa No Khamba Lomvaleliso'],South Africa,-30.0,24.0,2020,August
Everlasting Love,"['Rufus', 'Chaka Khan']",Illinois,41.0,-87.0,1971,April
At Midnight (My Love Will Lift You Up),"['Rufus', 'Chaka Khan']",California,38.0,-120.0,1977,May
Wake Up,['Arcade Fire'],Canada,45.0,-75.0,2004,September
Feather (feat. Cise Starr & Akin from CYNE),"['Nujabes', 'Cise Starr & Akin from CYNE']",Japan,35.0,138.0,2005,March
F*ck Your Ethnicity,['Kendrick Lamar'],California,34.0,-118.0,2011,September
Blow My High (Members Only),['Kendrick Lamar'],California,33.0,-118.0,2011,July
January 28th,['J. Cole'],North Carolina,35.0,-80.0,28th,January
SpottieOttieDopaliscious,['Outkast'],Georgia,34.0,-84.0,2000,November
Let Me Blow Ya Mind,"['Eve', 'Gwen Stefani', 'Stevie J']",Pennsylvania,40.0,-77.0,2001,June
Survivor’s Guilt (feat. G Herbo),"['Saba', 'G Herbo']",Illinois,41.8781,-87.6298,2018,July
Still (feat. 6LACK and Smino),"['Saba', '6LACK', 'Smino']",Illinois,41.0,-87.0,2018,October
Come My Way (feat. Krayzie Bone),"['Saba', 'Krayzie Bone']",Illinois,41.0,-87.0,'2020','December'
GIMMICK,['Gunna'],Georgia,33.2479,-83.4416,2019,August
Beauty & Essex (feat. Daniel Caesar & Unknown Mortal Orchestra),"['Free Nationals', 'Daniel Caesar', 'Unknown Mortal Orchestra']",Canada,43.0,79.0,2019,November
Shibuya (feat. Syd),"['Free Nationals', 'Syd']",California,33.0,-118.0,2019,December
Time,"['Free Nationals', 'Mac Miller', 'Kali Uchis']",California,33.0,-118.0,2019,December
On Sight,"['Free Nationals', 'JID', 'Kadhja Bonet', 'MIKNNA']",California,34.0,118.0,2019,November
All My Life (feat. J. Cole),"['Lil Durk', 'J. Cole']",Illinois,41.0,-88.0,2021,January
Home Alone (with J. Cole),"['Bas', 'J. Cole']",New York,40.0,-74.0,2020,August
Through the Fire and Flames,['DragonForce'],United Kingdom,51.5074,-0.1278,2006,August
TAKING TRIPS,['Vince Staples'],California,38.0,-121.0,2021,July
Feels,['Neya'],Canada,47.0,1070.0,2021,June
Lonely At The Top - Remix,"['Asake', 'H.E.R.']",Nigeria,10.0,8.0,2021,April
Throw Some D's,"['Rich Boy', 'Polow Da Don']",Alabama,32.0,86.0,2006,October
Sacrifices,"['Drake', '2 Chainz', 'Young Thug']",Canada,45.0,-75.0,2019,July
ビンクスの酒 - ~ロジャー海賊団ver.~,['ロジャー海賊団'],Japan,35.0,138.0,2020,February
紅蓮華,['LiSA'],Japan,36.0,138.0,2019,August
Walk Em Down (feat. Roddy Ricch),"['NLE Choppa', 'Roddy Ricch']",Tennessee,36.0,-86.0,2020,April
Money (feat. Juice WRLD & Nicki Minaj),"['Young Thug', 'Juice WRLD', 'Nicki Minaj']",Georgia,33.0,-83.0,2018,January
Tity and Dolla (feat. Hugh Augustine & Jay Rock),"['Isaiah Rashad', 'Hugh Augustine', 'Jay Rock']",Tennessee,36.1627,-86.7816,2020,August
Guillotine,"['Jon Bellion', 'Travis Mendes']",New York,43.0,75.0,2015,June
Motley Crew,['Post Malone'],California,34.0,118.0,2018,April
Sunflower - Spider-Man: Into the Spider-Verse,"['Post Malone', 'Swae Lee']",New York,41.0,-74.0,2018,October
Let Me Calm Down (feat. J. Cole),"['Nicki Minaj', 'J. Cole']",Trinidad and Tobago,10.0,61.0,'2021','October'
Luxury,"['Jon Bellion', 'Audra Mae']",New York,42.0,74.0,2016,October
Ain't No Need to Worry,['The Winans'],Michigan,42.0,-84.0,1987,November
Rumble,"['Skrillex', 'Fred again..', 'Flowdan']",Spain,40.0,4.0,2014,February
Company Pt. 3,['Don Toliver'],Texas,29.0,-99.0,2021,April
Ghost in the Machine (feat. Phoebe Bridgers),"['SZA', 'Phoebe Bridgers']",New Jersey,40.0,-74.0,2021,March
Uuuu,['Steve Lacy'],California,34.0522,-118.2437,2020,May
Dark Red,['Steve Lacy'],California,35.0,119.0,2017,February
Where'd All the Time Go?,['Dr. Dog'],Pennsylvania,41.0,-77.0,2010,March
A New Kind Of Love - Demo,"['Frou Frou', 'Imogen Heap', 'Guy Sigsworth']",United Kingdom,51.0,0.0,'Undefined','Undefined'
HAZARD DUTY PAY!,['JPEGMAFIA'],Maryland,39.0458,-76.6413,2013,August
You Don't Know Me,['Ray Charles'],Georgia,34.0,-83.0,1962,September
"Hallelujah, I Love Her So",['Ray Charles'],Georgia,33.0,-83.0,1957,April
I've Got a Woman,['Ray Charles'],Georgia,33.0,84.0,1954,October
Georgia on My Mind,['Ray Charles'],Georgia,-32.1656,-82.9001,1960,September
Still Dreamin (with JID & Lute feat. 6LACK),"['Dreamville', 'JID', 'Lute', '6LACK']",North Carolina,35.0,-80.0,2019,January
Summers Over Interlude,"['Drake', 'Majid Jordan']",Canada,45.0,-75.0,2016,September
Ocho Rios,['Daniel Caesar'],Jamaica,18.4,-77.1,2018,August
Supermodel,['SZA'],New Jersey,40.0583,-74.4057,2014,July
Hold Me Down,['Daniel Caesar'],Canada,43.0,-79.0,2015,July
Take Me Away (feat. Syd),"['Daniel Caesar', 'Charlotte Day Wilson']",Canada,43.0,-79.0,2016,November
We Might Even Be Falling In Love (Duet) - Spotify Singles,"['Victoria Monét', 'Bryson Tiller']",California,34.0,118.0,2018,December
Always (feat. Summer Walker) - Bonus,"['Daniel Caesar', 'Summer Walker']",Canada,43.0,-79.0,2019,August
I've Been Loving You Too Long,['Otis Redding'],Georgia,33.0,83.0,1965,June
The Middle,['Jimmy Eat World'],Arizona,33.0,-112.0,2001,November
Touch My Body,['Mariah Carey'],New York,41.0,74.0,2008,April
Use Somebody,['Kings of Leon'],Tennessee,36.0,-86.0,2008,September
Smooth (feat. Rob Thomas),"['Santana', 'Rob Thomas']",Mexico,24.0,102.0,1999,June
Trouble Man,['Marvin Gaye'],Washington,0,0,N/A,N/A
Wake Me up When September Ends,['Green Day'],California,38.0,-122.0,2004,September
Brain Stew,['Green Day'],California,37.0,-120.0,1995,April
Skegee,['JID'],Alabama,32.0,85.0,'2018','September'
Friends in Low Places - Live,['Garth Brooks'],Oklahoma,35.0,-97.0,1990,August
Tryna Smoke,"['Jhené Aiko', 'Micahfonecheck']",California,34.0,-118.0,2021,March
Comfortable,"['Lil Wayne', 'Babyface']",Louisiana,31.0,-91.0,2021,September
WHAT TO DO? (feat. Don Toliver),"['JACKBOYS', 'Travis Scott', 'Don Toliver']",Texas,30.0,100.0,'2019','December'
Hood Gone Love It (feat. Kendrick Lamar),"['Jay Rock', 'Kendrick Lamar']",California,34.0,-118.0,2011,July
Redemption (feat. SZA),"['Jay Rock', 'SZA']",California,37.0,-120.0,2018,June
m y . l i f e (with 21 Savage & Morray),"['J. Cole', '21 Savage', 'Morray']",North Carolina,35.0,-80.0,2021,May
Long Story Short,"['2 Chainz', 'Lil Wayne']",Georgia,33.0,-84.0,2013,March
Kody Blu 31,['JID'],Georgia,33.0,83.0,2020,December
Crack Sandwich,['JID'],Georgia,33.0,83.0,2022,February
RIP Young,['Isaiah Rashad'],Tennessee,35.0,86.0,2016,August
Believer (feat. Lil Wayne),"['Imagine Dragons', 'Lil Wayne']",Nevada,39.0,-116.0,2018,March
Häagen Dazs,['Ghetto Sage'],California,33.0,117.0,2020,October
Nobody But You,"['Sonder', 'Jorja Smith']",Maryland,38.0,-76.0,2017,January
Pretty Little Fears (feat. J. Cole),"['6LACK', 'J. Cole']",Georgia,32.0,83.0,2018,October
Y U DON'T LOVE ME? (MISS AMERIKKKA),['Joey Bada$$'],New York,40.0,-74.0,2017,July
Kompany,"['monte booker', 'Smino', 'Phoelix']",California,36.0,119.0,2016,September
Let Do It,['Lil Wayne'],Louisiana,30.0,91.0,2008,December
Throw It In,['Lil Wayne'],Louisiana,31.0,-91.0,2021,March
"Just Begun (feat. Jay Electronica, J. Cole and Mos Def)","['Talib Kweli', 'Hi-Tek']",New York,41.0,-74.0,2010,December
Fashion Killa,['A$AP Rocky'],New York,40.0,74.0,2013,September
Good News,['Mac Miller'],Pennsylvania,40.9949,-77.6048,2020,January
Die Hard,"['Kendrick Lamar', 'Blxst', 'Amanda Reifer']",California,33.7712,-118.1892,2017,August
Consideration,"['Rihanna', 'SZA']",Barbados,13.0,59.0,2016,January
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"['Metro Boomin', 'Coi Leray']",Georgia,33.0,-83.0,2022,October
Brand New,"['Tyga', 'YG', 'Lil Wayne']",New York,40.0,-74.0,2011,September
One Way or Every N***a With a Budget,['Saba'],Illinois,41.0,-87.0,2013,December
Just Da Other Day,['JID'],Georgia,33.0,84.0,2017,June
Sunset (with J. Cole feat. Young Nudy),"['Dreamville', 'J. Cole', 'Young Nudy']",North Carolina,36.0,-79.0,2019,August
